,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
799,Hearts Beat Loud,49.73,3247,2.43,71,0.94,47,0.39,19,0.26,6494.14,230875,310728.59,8899636,77381.68,2016501,2115765.0
800,Heartstone,3.63,104,0.8,13,0.4,8,0.04,1,0.03,1657.93,78251,9343.95,349369,38604.27,312850,361878.0
801,Heartthrob,15.95,249,2.9,49,0.45,8,0.16,3,0.06,478.29,4871,57489.44,1708039,49460.84,458627,90000000.0
802,Heaven,8.6,297,1.02,30,0.63,10,0.05,2,0.01,2778.8,53893,8184.6,134393,38963.49,406266,111232.0
803,Hellbender,9.53,296,1.35,29,0.73,8,0.24,4,0.18,2944.27,44146,61819.09,756123,38380.67,345368,67474.0
804,Hellboy,16.87,284,2.36,49,2.73,138,0.21,7,0.12,1123.53,8315,96462.09,6785108,40334.13,779039,44664690.0
805,Hello Guru Prema Kosame,12.14,256,1.42,24,0.11,2,0.04,1,0.21,306.33,3712,128873.95,613397,62172.71,270941,5479646.0
806,Hello Life,6.73,107,0.85,29,0.71,12,0.11,2,0.04,880.29,13350,8741.57,339312,31177.2,268778,690124.0
807,Hellraiser: Judgment,5.51,45,1.52,13,0.55,6,0.23,3,0.22,3670.17,24395,54420.31,351305,89100.28,410922,426290.0
808,Helmut Newton: The Bad and the Beautiful,5.82,67,1.6,16,0.15,2,0.33,5,0.33,4545.84,230877,117545.9,2870725,49874.54,669204,160008.0
809,Her Blue Sky,19.74,264,5.88,113,0.69,5,0.24,4,0.1,1910.39,32740,8898.98,222696,41472.48,182693,4736031.0
810,Hereditary,14.7,293,2.9,48,0.96,19,0.72,30,0.2,2164.96,53216,303056.2,9337564,62604.11,499948,80239658.0
811,Heroic Losers,5.984848484848484,147,2.8333333333333335,91,0.4393939393939394,5,0.24242424242424243,13,0.10606060606060606,6018.19696969697,230877,61157.545454545456,2870716,81911.13636363637,701554,7364054.0
812,Hey Jude,42.25,2681,4.05,175,0.82,44,0.1,4,0.04,2808.26,181472,50378.42,1670331,59663.41,1680034,800800.0
