,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
1252,Neptune Frost,18.04,205,5.27,40,0.43,8,0.72,9,0.33,3231.46,87889,85594.42,3033001,48076.84,488785,182000.0
1253,Never Grow Old,5.85,213,1.36,57,0.36,4,0.24,12,0.07,5474.3,109712,51125.39,3679445,100879.59,2895921,106796.0
1254,Never Look Away,6.21,119,2.25,65,0.67,19,0.12,2,0.17,2477.9,28732,65126.3,3443089,92629.35,2483745,4831836.0
1255,Never Rarely Sometimes Always,14.09,680,2.21,89,0.41,10,0.26,7,0.33,4966.72,120922,199439.51,6462601,70611.96,417473,407807.0
1256,Never Say Die,25.13,958,6.78,318,0.78,21,0.99,70,0.1,3701.44,82010,31821.13,746662,34938.14,249559,334530869.0
1257,New Gods: Yang Jian,20.5,423,3.111111111111111,45,0.5555555555555556,3,0.9166666666666666,18,0.0,545.0833333333334,2028,6620.0,156726,30303.583333333332,219028,70826303.0
1258,News of the World,16.84,469,1.97,63,1.48,58,0.41,11,0.32,4343.71,230877,96913.74,2870709,70886.05,737882,12668325.0
1259,Nhan Duyen: Nguoi Yeu Tien Kiep,2.0,2,1.0,1,0.0,0,0.0,0,0.0,211.0,211,1118.0,1118,5933.0,5933,85762.0
1260,Nice View,6.79,142,0.28,3,0.77,19,0.14,7,0.03,953.27,10902,3679.26,101143,31205.27,493018,211018982.0
1261,Nice to Meet You,9.61,628,0.94,37,0.64,13,0.06,2,0.06,2559.33,34982,11567.89,619978,61779.19,897583,7455677.0
1262,Night Hunter,14.13,212,2.39,42,0.54,5,0.14,3,0.05,2726.62,44142,9491.56,147745,40387.95,260721,1012932.0
1263,Night Is Short,3.64,55,1.15,36,0.35,5,0.06,3,0.04,1901.05,8456,6141.79,112482,67077.55,278988,3878208.0
1264,Night School,10.79,393,2.81,120,1.15,42,0.33,10,0.33,3868.94,120922,561132.45,37628158,60848.12,478331,33157615.0
1265,Night Shift,5.78,93,1.1,23,0.71,6,0.11,2,0.05,4188.41,119569,10762.77,289835,38129.21,631569,1911400.0
1266,Nightlife,6.08,190,0.96,28,0.56,7,0.19,3,0.04,2725.5,116086,15096.67,528554,50375.07,767027,10349294.0
1267,Nightmare Alley,24.76,818,3.61,198,0.99,15,0.61,32,0.12,1262.46,9683,15257.28,522679,32831.69,177126,39629195.0
1268,Nine Days,18.78,162,3.22,32,2.23,75,0.62,7,0.38,1571.35,16913,661107.92,19400616,77004.38,1124320,969204.0
1269,No Game No Life: Zero,10.01,174,4.2,49,0.3,3,0.27,3,0.02,1139.64,18116,60683.33,1675434,40490.82,222492,6000000.0
1270,No Time to Die,36.19,897,3.46,59,2.03,61,1.57,109,0.19,1529.85,21496,350775.0,22300861,74099.54,871337,774153007.0
1271,Nobody,9.55,264,0.85,31,0.85,10,0.09,3,0.03,3332.18,197577,36005.88,3186791,34085.36,374641,61779301.0
1272,Nobody's Fool,37.91,3267,4.58,321,1.96,136,0.52,26,0.18,2932.38,91293,217969.88,12683502,88590.74,2016501,29152618.0
1273,Nomadland,17.71,1174,1.77,97,0.65,19,0.68,44,0.26,5930.51,230877,86503.24,2870709,42667.06,403042,14784114.0
1274,Nope,2.84,26,0.07,1,0.3,3,0.04,2,0.01,2334.62,39282,2913.67,36456,60301.94,1160437,170823080.0
1275,Norm of the North: King Sized Adventure,3.25,9,18.75,60,0.75,3,0.0,0,0.0,4590.5,10184,8030.0,11792,34917.5,44084,1442504.0
1276,Novitiate,31.85,2342,6.37,272,0.69,56,0.46,23,0.25,5629.09,292022,249723.23,6462589,68305.15,2016501,580346.0
1277,Não Faça Isso Comigo,48.07,4087,18.03,1735,1.11,46,1.86,115,0.0,2339.64,28129,5494.04,116979,57794.55,402616,40000.0
1278,O Método De Cristo,6.987804878048781,80,5.658536585365853,108,0.5,18,0.04878048780487805,2,0.036585365853658534,901.939024390244,14046,36602.57317073171,426835,23788.219512195123,263213,250000.0
1279,OSS 117: From Africa with Love,18.529411764705884,360,3.0441176470588234,29,0.5,8,0.45588235294117646,3,0.16176470588235295,4798.941176470588,230877,317718.26470588235,7001558,60319.48529411765,669201,13450000.0
1280,Occupation: Rainfall,8.41,100,1.57,13,0.58,4,0.35,5,0.1,3235.39,44146,18546.85,296295,42349.97,426654,331091.0
1281,Ocean's Eight,8.22,100,1.38,27,0.6,5,0.15,9,0.07,2446.64,91294,12842.65,363327,85298.72,2016501,297718711.0
1282,Odessa,27.67,869,4.91,107,1.66,98,0.45,10,0.26,6076.73,134759,281122.61,19400638,117172.58,3231612,4000000.0
1283,Off the Rails,63.94,5769,8.42,809,1.97,60,0.29,18,0.07,1553.37,12641,6681.29,129561,44897.61,410701,542675.0
1284,Office Uprising,5.74,86,3.23,63,0.44,9,0.45,27,0.11,3331.57,120921,80406.1,3443085,58686.22,478331,165623.0
1285,Ok Jaanu,14.78,337,5.95,98,0.43,9,0.31,5,0.09,407.0,4611,157748.08,5647649,37931.61,460224,345872.0
1286,Okay! Madam,4.27,71,1.29,78,0.58,3,0.09,2,0.0,1114.94,15489,4746.23,87930,39464.4,390348,9341543.0
1287,Okko's Inn,19.43,972,5.91,301,0.47,6,0.13,2,0.15,778.44,6407,137540.77,1675652,51478.81,214093,293385.0
1288,Old,6.93,133,0.37,16,0.77,10,0.06,2,0.04,1056.47,13958,8809.04,426704,34586.7,484820,90112510.0
1289,Olpo Holeo Sotti,21.57894736842105,154,0.42105263157894735,3,0.6842105263157895,9,0.0,0,0.0,78.3157894736842,324,2851.0526315789475,17531,3001.2631578947367,25289,99999.0
1290,Omicidio all'italiana,8.67,182,3.57,81,0.49,13,0.22,6,0.19,1245.28,32274,220669.63,3523370,175985.23,4187670,1042265.0
1291,On Chesil Beach,6.21,128,1.38,25,0.61,6,0.19,5,0.14,1491.72,12739,29624.7,1474778,41081.81,478250,3335913.0
1292,On Your Wedding Day,8.88,272,5.96,335,1.23,78,0.38,20,0.06,1240.03,22130,57746.41,4205367,22795.26,217321,20895905.0
1293,On the Basis of Sex,17.18,328,3.85,66,0.89,14,0.31,5,0.38,4099.01,91294,1818244.83,60717344,112939.72,2016501,38673750.0
1294,On the Come Up,23.6,1318,1.72,32,1.79,30,0.27,6,0.05,1037.48,6559,18578.86,997724,29561.63,382174,46000.0
1295,On the Line,16.86,623,1.53,52,0.68,8,0.16,3,0.12,1769.83,35653,17286.17,849613,35767.34,319947,11772156.0
1296,Once Upon a Time in Venice,5.6,47,1.12,13,0.33,9,0.12,8,0.24,3770.43,162638,476241.35,6462585,71333.65,508386,855888.0
1297,Once Upon a Time… in Hollywood,8.37,380,0.89,33,0.44,10,0.09,5,0.22,22628.83,651275,309154.1,5655761,390086.61,7869071,374251247.0
1298,One Cut of the Dead,14.5,34,5.0,8,1.0,3,0.5,1,0.25,2085.75,3317,14672.0,30217,34771.5,39371,200000000.0
1299,One Life at a Time,11.89,449,2.79,85,1.01,63,0.21,10,0.07,3041.52,104401,14985.03,437773,32821.49,628527,100000.0
1300,One Love,18.27,993,2.38,74,1.35,66,0.22,11,0.03,1325.24,11893,5262.95,198656,45017.33,580621,6214362.0
1301,One Piece Film Red,61.05,3115,9.41,556,1.15,31,0.59,36,0.02,1311.34,24730,22871.33,1796967,28874.82,618894,141000000.0
1302,One Piece: Stampede,126.91,3929,18.92,702,2.37,57,0.62,17,0.09,1142.61,11486,64097.21,1495865,40987.21,410922,81562741.0
1303,One Second,13.05,425,0.34,14,0.98,23,0.13,3,0.0,1118.1,7352,1875.95,34729,37023.03,550430,10791301.0
1304,One Step Behind the Seraphim,2.0,3,0.6666666666666666,1,0.0,0,0.0,0,0.0,8613.666666666666,10362,31029.666666666668,44342,159025.0,415337,105176.0
1305,Only Fools Rush In,25.91,1391,5.02,124,0.34,3,1.01,69,0.01,1100.03,14360,4511.2,52638,33295.83,410811,82155900.0
1306,Only the Animals,16.53,980,2.94,123,0.84,12,0.16,7,0.06,2842.69,82418,19679.76,1303804,40801.01,474081,878668.0
1307,Only the Brave,12.27,469,3.07,119,0.84,28,0.4,16,0.14,5753.2,144149,193257.92,5668471,81824.4,2704146,25754775.0
1308,Onward,21.2,657,2.65,63,1.1,26,0.31,13,0.18,1875.38,36871,224564.54,9501448,187775.24,7250316,141592359.0
1309,Oolong Courtyard: Kung Fu School,8.5,28,11.25,43,0.75,3,2.0,8,0.0,1931.0,3620,152143.0,575628,38523.5,61854,19109023.0
1310,Operation Finale,6.9,109,2.19,45,0.36,8,0.28,7,0.31,2532.78,43979,129294.09,4598432,47390.33,399979,17506878.0
1311,Operation Red Sea,14.31,107,12.43,177,0.24,8,0.07,2,0.05,254.13,3882,23163.36,1884820,25992.03,302829,579220560.0
1312,Ophelia,10.53,117,2.4,38,0.36,3,0.23,7,0.11,1328.27,15263,116790.03,7798554,67880.43,630070,242115.0
1313,Opération Portugal,4.61,122,0.86,26,0.6,8,0.32,21,0.26,1418.01,6943,30542.03,405306,40945.59,317774,3795575.0
1314,Orayiram Kinakkalal,9.63265306122449,91,1.3265306122448979,17,0.12244897959183673,2,0.061224489795918366,1,0.14285714285714285,616.5102040816327,1913,60201.77551020408,743961,51314.0,446904,154500.0
1315,Orphan: First Kill,3.76,143,0.16,7,0.63,3,0.06,3,0.01,1339.65,63065,4779.17,228034,45155.92,1535597,9572765.0
1316,Oru Cinemakkaran,19.140845070422536,474,1.971830985915493,40,0.9295774647887324,31,0.16901408450704225,4,0.1267605633802817,669.1830985915493,3722,38862.42253521127,354046,39110.90140845071,399175,940000.0
1317,Oru Kaatil Oru Paykappal,6.25,17,0.25,1,0.5,1,0.0,0,0.0,261.75,860,3315.25,6891,9713.5,26109,33700.0
1318,Os Parças 2,504.12,40788,23.31,2030,8.06,520,5.69,368,0.24,2433.19,171281,799525.93,26365540,71842.53,623341,890729.0
1319,Otzi and the Mystery of Time,10.142857142857142,19,10.0,26,0.0,0,0.0,0,0.0,487.0,1636,1165.5714285714287,1990,1866.7142857142858,9152,53815.0
1320,Our Shining Days,8.375,47,10.875,85,0.125,1,0.125,1,0.0,486.5,1556,4880.25,14112,30782.125,77058,6600.0
1321,Out of Blue,9.91,200,1.63,12,0.51,8,0.25,3,0.12,2920.07,45263,66288.09,2701357,44013.41,382589,17682.0
1322,Out of Death,49.94,3945,26.25,2547,6.51,485,3.02,293,0.06,2222.19,28772,14546.22,525671,41227.49,212704,95813.0
1323,Overboard,8.32,104,2.18,64,0.81,11,1.51,76,0.18,2845.96,50853,69325.23,1086616,93579.81,491684,91244913.0
1324,Overdrive,4.43,123,1.15,19,0.28,5,0.09,2,0.2,2402.14,91294,23935.59,935447,86201.71,2016501,7793.0
1325,Overlord,4.28,166,0.41,11,0.35,3,0.04,1,0.04,1291.91,46133,24735.32,1775709,49879.62,1411205,41657844.0
1326,Ovunque tu sarai,7.49,109,2.06,25,0.24,5,0.23,4,0.22,905.2,6962,167908.95,2268850,51409.96,335270,97749.0
1327,Oxidan,5.98,120,1.92,65,0.29,5,0.09,4,0.01,3535.45,157574,6852.29,229743,47740.45,685969,200000.0
1328,Oz Academy,18.79,94,7.01,42,0.29,6,0.34,4,0.0,4647.43,17625,8617.75,43121,19539.78,150545,134444.0
1329,PAW Patrol: The Movie,11.59,105,2.3,31,0.69,8,0.28,10,0.13,4902.39,230877,77955.88,3443089,62991.93,640546,144327371.0
1330,PGS - Intuition is your Personal Guidance System,1.0,1,0.0,0,0.0,0,0.0,0,0.0,37.0,37,31.0,31,122.0,122,35423.0
1331,Paani Ch Madhaani,103.94,6098,7.76,240,2.7,94,0.41,9,0.43,1812.79,146463,545334.94,2396300,37952.52,341529,226378.0
1332,Pacific Rim: Uprising,4.72,120,0.87,38,0.54,8,0.09,4,0.09,1549.19,25037,81797.72,4598429,45272.46,411027,290061297.0
1333,Pad Man,51.65,3886,18.92,1248,0.91,66,0.84,63,0.14,1791.2,120922,68432.45,1095437,61674.08,650174,23000000.0
1334,Paddington 2,10.12,291,2.16,63,0.52,9,0.26,10,0.24,2153.7,33540,34213.14,432976,41881.27,354528,227300000.0
1335,Padmaavat,6.92,245,1.93,37,0.58,10,0.24,4,0.13,674.59,6221,485872.82,14631319,110034.23,935686,81673897.0
1336,Pain and Glory,9.75,148,2.33,51,0.35,4,0.38,11,0.12,3553.56,230875,243066.59,13169568,58226.29,678274,37359689.0
1337,Paintings In The Dark,12.35,301,2.24,49,0.55,8,0.26,10,0.02,1966.45,76932,15580.72,381656,37270.07,448710,125000.0
1338,Palau the Movie,3.4615384615384617,30,0.5384615384615384,4,0.3076923076923077,3,0.057692307692307696,1,0.09615384615384616,1290.9615384615386,8804,28678.634615384617,298611,18392.403846153848,125610,134696.0
1339,Palm Springs,34.51,2012,2.86,156,1.8,100,1.43,119,0.21,1812.16,31239,56525.55,1979940,60606.25,605634,164000.0
1340,Panchavarnathatha,12.56,103,1.76,17,0.2,4,0.03,1,0.11,573.21,2274,78910.99,1480394,39676.49,794332,2100000.0
1341,Pandas,5.01,267,1.03,81,0.41,3,0.03,2,0.03,1832.92,45689,16018.95,684098,88958.03,2071094,7635778.0
1342,Pandora,3.53,75,0.85,26,0.35,3,0.05,5,0.06,1359.51,20046,37430.99,2403898,50745.08,563307,30169000.0
1343,Panghrun,6.48,57,0.46,6,0.46,7,0.04,2,0.77,382.47,4073,144333.18,1457736,42548.14,380889,132367.0
1344,Pant Hoot,10.83,164,1.92,23,0.42,12,0.28,4,0.05,1690.55,21249,4638.64,38187,15350.25,216128,15000.0
1345,Panthu,5.78,86,0.33,11,0.58,3,0.0,0,0.02,694.67,2763,83046.15,7922877,28405.98,472660,21100.0
1346,Papercop,2.4285714285714284,5,0.42857142857142855,2,0.0,0,0.0,0,0.14285714285714285,1156.7142857142858,4998,2732.285714285714,14730,13052.142857142857,62497,20000.0
1347,Papillon,3.25,84,0.86,55,0.6,12,0.08,2,0.0,1611.13,74333,3712.41,70339,66353.29,2099569,10060903.0
1348,Para toda la muerte,18.73,695,5.87,119,1.09,33,0.45,29,0.12,2287.99,51342,40752.36,2115517,60114.79,918177,77942.0
1349,Parallel Heroes,7.8,182,5.87,244,0.42,9,0.15,7,0.01,917.35,17271,1225.19,18013,15698.0,128666,1204500000.0
1350,Parasite,3.02,21,0.62,10,0.5,5,0.09,3,0.1,2372.92,35493,23623.15,324183,64630.2,858047,257591776.0
1351,Pari,6.185,139,2.37,155,0.57,27,0.115,12,0.05,1509.055,37385,31316.815,1135241,59699.16,1503434,6000000.0
1352,Pari,6.185,139,2.37,155,0.57,27,0.115,12,0.05,1509.055,37385,31316.815,1135241,59699.16,1503434,12397.0
1353,Paris,27.91,1333,5.07,376,0.88,13,0.51,26,0.1,1922.92,82342,52167.28,1991686,139714.8,7250383,2200000.0
1354,Parque Mayer,3.8,29,0.57,7,0.68,6,0.06,1,0.14,688.62,9654,40449.79,977782,48460.68,550838,250169.0
1355,Parwaaz Hai Junoon,102.88,5179,10.04,408,3.47,124,0.67,14,0.07,296.25,2511,86095.5,3535609,52894.19,207474,3087982.0
1356,Paskal,3.24,14,1.2,8,0.38,2,0.09,1,0.0,617.48,5000,1817.95,79294,35974.82,366983,6748935.0
1357,Passengers,5.69,62,2.21,39,0.54,8,0.41,6,0.29,3844.16,67995,304738.55,6751028,147327.47,1917275,303144152.0
1358,Pat & Mat Back in Action,2.0,2,0.0,0,0.0,0,0.0,0,0.0,885.0,885,2574.0,2574,31014.0,31014,409198.0
1359,Path to the Dream,40.53,2795,13.13,1057,0.93,55,2.84,262,0.08,2434.87,31701,6434.99,114699,36584.68,621761,60622.0
1360,Patriots Day,5.16,121,1.34,20,0.29,3,0.12,2,0.2,1988.18,33540,40873.41,1380707,70093.97,1204459,50548152.0
1361,Paw Patrol. Mission Xmas,1.5,2,0.5,1,0.0,0,0.0,0,0.0,643.0,953,389.0,557,2422.0,4378,316420.0
1362,Paw Patrol: Mission Big Screen,5.666666666666667,15,1.6666666666666667,5,0.3333333333333333,1,1.3333333333333333,4,0.6666666666666666,1725.6666666666667,4526,60156.333333333336,155001,22334.666666666668,39182,54731.0
1363,Paws of Fury: The Legend of Hank,7.54,155,1.32,16,0.55,8,0.16,4,0.13,4084.06,230872,347048.24,25656589,77502.91,2162814,24316785.0
1364,Pearl,15.02,1005,0.98,55,0.86,15,0.15,6,0.04,1280.97,17387,32522.1,2701362,43514.68,257627,9423445.0
1365,Pelucas y Rokanrol,15.3,133,3.78,50,0.73,15,0.44,7,0.35,12099.25,126250,726957.68,4274545,103830.5,797738,16193.0
1366,Peninsula,6.87,100,1.53,41,0.69,18,0.09,2,0.09,3785.78,66796,14974.75,518520,44706.1,615818,39657073.0
1367,Peppermint,4.76,75,0.76,20,0.47,3,0.13,4,0.07,1616.65,25963,12466.56,441871,44155.31,549899,53918723.0
1368,Permette? Alberto Sordi,3.914285714285714,20,1.3142857142857143,6,0.11428571428571428,2,0.02857142857142857,1,0.11428571428571428,505.57142857142856,2488,103283.8,1951650,85325.02857142857,515481,14000.0
1369,Persian Lessons,8.1,129,1.96,42,0.71,21,0.12,3,0.23,12178.46,230877,218470.93,6254120,114650.87,2016501,3825668.0
1370,Person to Person,14.62,330,4.68,130,0.25,4,0.21,9,0.13,1887.96,37278,46110.49,3200456,39933.31,207215,48499.0
1371,Pet Sematary,10.36,204,1.04,25,0.78,9,0.12,3,0.16,2535.88,78251,20085.53,741640,41465.25,272230,112399944.0
1372,Peter Rabbit,4.92,56,2.85,82,0.36,9,0.16,2,0.21,2706.79,49262,106319.52,3274868,44879.29,432607,351266433.0
1373,Peter Rabbit 2: The Runaway,36.76,901,16.6,570,1.17,31,3.43,67,0.23,2028.81,12000,120188.33,3443082,79890.86,478331,153000000.0
1374,Petite Maman,11.94,229,2.38,45,1.13,39,0.34,7,0.17,1376.88,10652,86403.44,2570288,48394.89,508328,1024575.0
1375,Phantom Thread,15.45,749,1.83,48,0.69,14,0.29,5,0.24,2451.37,103926,110403.38,6390621,58803.79,491440,47756590.0
1376,Phoenix Forgotten,2.67,17,0.77,13,0.32,3,0.17,4,0.16,3337.83,78251,79592.86,6462591,44433.71,489638,3600000.0
1377,Piccoli crimini coniugali,2.11,7,0.9,6,0.14,2,0.06,2,0.07,1150.65,7230,16025.7,315173,36875.08,601764,174337.0
1378,Pig,5.95,114,0.45,24,0.69,6,0.05,1,0.02,1682.39,34856,4804.21,180215,36583.56,484064,3889432.0
1379,Piggy,35.71,2476,5.25,284,1.09,27,0.17,4,0.04,1703.01,54114,3562.0,151180,13985.76,92548,380512.0
1380,Pil's Adventures,6.125,27,2.0,6,0.0,0,0.375,3,0.375,29237.75,230877,388770.25,2870724,80555.375,403043,6813652.0
1381,Pinocchio,10.77,667,1.35,40,0.7,24,0.17,8,0.02,1728.02,16277,41023.22,3698938,42703.5,376525,17133446.0
1382,Pirates of the Caribbean: Dead Men Tell No Tales,7.89,203,7.78,203,0.49,9,1.02,56,0.27,12007.8,568963,368387.24,10826820,120959.35,2016501,794861794.0
1383,Pitch Perfect 3,87.01,7144,15.4,1179,2.1,158,2.15,110,0.13,1305.01,43094,133149.93,7798540,51511.41,423827,184724494.0
1384,Pixie,3.48,62,0.21,13,0.62,2,0.07,3,0.0,3486.74,39855,3494.29,39633,44387.82,219136,479317.0
1385,Playing with Fire,295.64,28514,66.18,6467,1.94,120,1.81,161,0.31,5148.02,230875,318622.12,14077968,79096.12,603702,69412425.0
1386,Playing with Sharks,7.39,186,0.93,34,1.31,72,0.16,6,0.07,1116.67,7551,31254.09,2160083,24530.17,297029,61404.0
1387,Ploey: You Never Fly Alone,6.4,35,1.5,6,0.8,8,0.5,5,0.0,1101.0,2114,12809.7,52405,23740.1,86909,6110461.0
1388,Plus One,19.73,692,3.34,218,0.93,20,0.3,8,0.13,4866.83,292021,74125.31,2827017,56507.6,1594430,44112.0
1389,Pocket Hercules: Naim Suleymanoglu,16.5,447,8.94,261,0.26,3,0.46,6,0.32,1314.22,6772,290737.06,6474368,85876.66,698190,4920899.0
1390,Pokemon the Movie: Mewtwo Strikes Back - Evolution,21.62,243,4.7,44,0.95,15,0.79,12,0.1,1757.71,37094,59751.45,485126,121047.83,458560,26654184.0
1391,Pokémon Detective Pikachu,94.03,4493,12.74,710,1.26,25,2.73,193,0.13,1874.76,31502,209730.57,7581578,56665.78,468516,433005346.0
1392,Pokémon the Movie: I Choose You!,6.13,93,2.27,31,0.18,4,0.19,4,0.09,4100.73,166484,86599.44,1675395,62528.6,458555,37552144.0
1393,Pokémon the Movie: The Power of Us,1.0,1,0.0,0,0.0,0,0.0,0,0.0,30.0,30,75.0,75,293.0,293,23740788.0
1394,Poly,7.21,217,0.76,25,0.91,12,0.13,5,0.01,959.02,14761,3123.06,38633,38462.51,188576,5236154.0
1395,Poms,11.52,543,1.8,46,1.46,26,0.13,7,0.14,6330.22,91293,46521.62,816920,98813.04,2016501,8600192.0
1396,Poomaram,50.22,2011,3.88,121,1.12,54,0.26,10,0.05,681.87,12212,48064.68,1670334,25492.72,399175,252900.0
1397,Pope Francis: A Man of His Word,7.6,141,2.66,71,0.51,24,0.48,27,0.23,6673.93,120922,259215.53,8843417,76488.16,911225,2423465.0
1398,Pork Pie,3.83,71,0.92,13,0.48,9,0.17,3,0.1,1391.08,9841,13625.11,475143,42015.17,661462,847307.0
1399,Portrait of a Lady on Fire,13.33,241,2.71,124,0.95,9,0.18,4,0.14,2781.62,91293,16162.24,249402,66894.34,2016501,9923127.0
1400,Possessor Uncut,28.39,744,4.55,110,0.7,12,1.32,39,0.39,3303.82,42025,70270.89,2393833,70708.39,624476,841334.0
1401,Possum,6.14,126,0.54,13,0.71,15,0.12,5,0.02,1925.44,17959,15370.81,995878,39307.8,270341,33225.0
1402,Poster Boys,44.07,646,11.34,104,1.16,32,0.32,4,0.22,799.05,6281,90498.3,2101232,46009.01,2013086,3540879.0
1403,Power Rangers,7.61,398,1.96,93,0.47,21,0.35,17,0.11,967.22,12390,201576.22,9799110,59471.19,1198431,142337240.0
1404,Praana,47.45,1534,4.7,127,0.92,48,0.18,6,0.16,959.24,61894,212105.31,7922872,35675.71,472656,135000.0
1405,Prey for the Devil,9.12,259,1.59,54,1.07,23,0.17,5,0.07,2316.34,36872,226129.47,19520766,47327.37,2131314,20000000.0
1406,Primal,177.58,14562,15.93,1404,2.1,133,3.03,284,0.04,3483.01,116270,52771.18,2232416,83115.25,581875,146863.0
1407,Privacy,7.71,227,3.36,155,0.53,12,0.38,13,0.1,2866.39,70936,28416.17,1750313,71223.0,1033548,100000.0
1408,Priyappettavar,3.0,7,0.16666666666666666,1,0.5,1,0.0,0,0.0,768.6666666666666,1286,2193.0,6318,7645.833333333333,20152,69000.0
1409,Professor Marston and the Wonder Women,6.4,122,27.87,2133,0.38,12,0.28,10,0.24,2794.76,43979,166683.53,6462589,71039.89,455258,1584759.0
1410,Profile,3.82,37,0.69,11,0.52,3,0.08,2,0.01,2142.68,25963,6269.67,72196,54329.17,1223686,1763278.0
1411,Project Ghazi,14.56,753,1.64,59,0.75,36,0.14,4,0.11,495.905,18001,49585.53,1358545,25419.8,352158,140000.0
1412,Project Ghazi,14.56,753,1.64,59,0.75,36,0.14,4,0.11,495.905,18001,49585.53,1358545,25419.8,352158,126000.0
1413,Promise at Dawn,4.11,100,2.13,99,0.32,4,0.08,2,0.05,3924.94,230872,38676.8,2870660,44201.01,637465,9242157.0
1414,Promise of Pisa,3.6666666666666665,21,1.5666666666666667,29,0.8333333333333334,8,0.06666666666666667,1,0.2,1612.1333333333334,17312,9213.466666666667,99550,31313.166666666668,216695,297388.0
1415,Promising Young Woman,6.85,113,0.48,18,0.84,7,0.12,2,0.19,1630.01,9782,8703.52,92089,45872.02,511694,13868965.0
1416,Proud Mary,30.12,1114,11.8,486,2.75,186,2.65,189,0.16,1710.92,13802,40558.43,1046420,72416.7,441393,21753365.0
1417,Psycho Goreman,6.36,77,0.97,15,0.54,4,0.23,10,0.05,1794.83,24393,15909.81,263639,43543.03,278474,95384.0
1418,Psycho-Pass 3: First Inspector,150.53,4787,88.0,3142,1.33,68,3.05,174,0.09,1779.61,21253,93236.24,3771548,81547.62,711293,757096.0
1419,Puaada,9.78,53,1.09,10,0.6,5,0.08,4,0.6,252.33,3181,191521.91,2059316,59031.48,572574,2400000.0
1420,Punjab Nahi Jaungi,24.49,930,2.83,38,1.44,80,0.13,2,0.03,1853.22,18001,50506.36,2022686,24191.73,168380,4900000.0
1421,Puthan Panam,16.51,238,2.22,33,0.5,8,0.07,2,0.1,929.41,9575,73407.66,1594995,33017.34,399173,1400000.0
1422,Puzzle,9.68,369,4.54,107,5.47,489,14.18,1403,0.07,5346.32,387808,27532.46,857477,88611.24,2194379,2266853.0
1423,QOC Super Show,1.0,1,0.0,0,1.0,1,0.0,0,0.0,2425.0,2425,2168.0,2168,88831.0,88831,9001.0
1424,QT8: The First Eight,18.635135135135137,706,3.972972972972973,50,0.47297297297297297,26,0.2972972972972973,6,0.13513513513513514,10360.067567567568,230877,228472.22972972973,9096479,50143.67567567567,403043,101346.0
1425,Qismat 2,11.32,110,1.88,19,1.29,18,0.17,8,0.4,340.53,2352,93108.91,1044378,32966.81,202789,4700000.0
1426,Queen,3.87,35,0.77,19,0.34,3,0.04,1,0.02,975.35,7621,4015.64,117563,45390.31,428851,1334800.0
1427,Queen & Slim,23.63,1039,6.89,330,0.57,7,1.07,60,0.16,3547.79,120922,690111.56,54733867,88946.87,2016501,47803176.0
1428,Queens Of Combat QOC 20,21.0,21,9.0,9,0.0,0,0.0,0,0.0,245.0,245,4748.0,4748,2026.0,2026,7665.0
1429,Queens Of Combat QOC 24,41.0,41,19.0,19,3.0,3,2.0,2,0.0,245.0,245,4748.0,4748,2026.0,2026,8777.0
1430,Quiet Comes the Dawn,5.636363636363637,37,1.0,8,0.36363636363636365,1,0.18181818181818182,1,0.0,5983.272727272727,32436,8842.636363636364,31318,30680.18181818182,99042,1028949.0
1431,R.A.I.D. Special Unit,6.0,6,1.0,1,0.0,0,0.0,0,0.0,829.0,829,7942.0,7942,8176.0,8176,34598750.0
1432,RBG,9.58,342,2.52,86,0.59,19,0.35,5,0.22,2005.55,25321,291199.08,19946227,47858.78,650174,2002767.0
1433,REDMARE,33.5,554,17.25,473,1.49,116,0.56,18,0.0,384.73,2277,8725.02,58476,82827.44,403435,9569411.0
1434,RISE 7: Sensation,7.333333333333333,20,1.3333333333333333,4,0.6666666666666666,2,0.0,0,0.3333333333333333,772.6666666666666,1262,24315.333333333332,70616,36132.0,94427,7666.0
1435,ROW Ladies Night Out 3,25.142857142857142,52,10.285714285714286,22,2.0,5,0.7142857142857143,3,0.2857142857142857,2362.0,5393,33224.57142857143,206410,18338.571428571428,45781,9885.0
1436,ROW Ladies Night Out 4,25.75,54,9.0,21,1.375,5,1.875,5,0.0,2158.625,2521,4631.375,5987,19221.5,34306,6555.0
1437,ROW Ladies Night Out 5,28.09090909090909,71,10.454545454545455,28,1.5454545454545454,3,1.0909090909090908,6,0.0,2379.5454545454545,2521,14611.636363636364,111604,33077.818181818184,139548,10777.0
1438,ROW Ladies Night Out II,19.6,39,6.6,9,0.4,1,0.2,1,0.0,2521.0,2521,5987.0,5987,19462.0,19462,8900.0
1439,RRR,5.03,72,1.24,22,0.54,7,0.16,3,0.02,1033.31,25030,94588.93,4538427,36642.82,831102,160000000.0
1440,Racetime,5.2,61,0.85,16,0.29,3,0.25,19,0.16,781.78,6648,7986.55,128930,15112.61,194854,12000000.0
1441,Radioactive,13.7,466,4.97,223,0.67,10,0.32,14,0.04,1304.81,11735,28039.81,1384101,48070.57,846568,3507755.0
